timestamp_iso,elapsed_seconds,service_name,service_kind,port,pid,process_name,rss_bytes,rss_mib
2026-02-27T19:52:28.047716+00:00,44.234,command_centre,backend,8099,30388,python,15142912,14.441
2026-02-27T19:52:28.047716+00:00,44.234,insurer_agent,consent_verification,8041,54000,python,9949184,9.488
2026-02-27T19:52:28.047716+00:00,44.234,provider_agent,consent_verification,8042,33284,python,9003008,8.586
2026-02-27T19:52:28.047716+00:00,44.234,consent_analyser,consent_verification,8043,62004,python,8826880,8.418
2026-02-27T19:52:28.047716+00:00,44.234,hitl_ui,consent_verification,8044,1776,python,9117696,8.695
2026-02-27T19:52:28.047716+00:00,44.234,triage_agent,ed_triage,8021,18712,python,18632704,17.770
2026-02-27T19:52:28.047716+00:00,44.234,diagnosis_agent,ed_triage,8022,22036,python,25440256,24.262
2026-02-27T19:52:28.047716+00:00,44.234,openhie_mediator,ed_triage,8023,37452,python,22663168,21.613
2026-02-27T19:52:28.047716+00:00,44.234,on_demand_gateway,gateway,8100,13936,python,22413312,21.375
2026-02-27T19:52:28.047716+00:00,44.234,imaging_agent,helixcare,8024,21132,python,14770176,14.086
2026-02-27T19:52:28.047716+00:00,44.234,pharmacy_agent,helixcare,8025,35792,python,9256960,8.828
2026-02-27T19:52:28.047716+00:00,44.234,bed_manager_agent,helixcare,8026,43860,python,9216000,8.789
2026-02-27T19:52:28.047716+00:00,44.234,discharge_agent,helixcare,8027,46320,python,9232384,8.805
2026-02-27T19:52:28.047716+00:00,44.234,followup_scheduler,helixcare,8028,60704,python,9244672,8.816
2026-02-27T19:52:28.047716+00:00,44.234,care_coordinator,helixcare,8029,51604,python,9109504,8.688
2026-02-27T19:52:28.047716+00:00,44.234,primary_care_agent,helixcare,8034,728,python,9297920,8.867
2026-02-27T19:52:28.047716+00:00,44.234,specialty_care_agent,helixcare,8035,47164,python,9330688,8.898
2026-02-27T19:52:28.047716+00:00,44.234,telehealth_agent,helixcare,8036,9056,python,9367552,8.934
2026-02-27T19:52:28.047716+00:00,44.234,home_visit_agent,helixcare,8037,58876,python,9314304,8.883
2026-02-27T19:52:28.047716+00:00,44.234,ccm_agent,helixcare,8038,10796,python,9293824,8.863
2026-02-27T19:52:28.047716+00:00,44.234,clinician_avatar_agent,helixcare,8039,55112,python,9175040,8.750
2026-02-27T19:52:28.047716+00:00,44.234,hospital_reporter,public_health_surveillance,8051,12920,python,9678848,9.230
2026-02-27T19:52:28.047716+00:00,44.234,osint_agent,public_health_surveillance,8052,29084,python,9523200,9.082
2026-02-27T19:52:28.047716+00:00,44.234,central_surveillance,public_health_surveillance,8053,59160,python,9351168,8.918
