timestamp_iso,elapsed_seconds,pid,process_name,rss_bytes,rss_mib,services
2026-02-27T19:52:41.976939+00:00,58.156,21132,python,9957376,9.496,imaging_agent
2026-02-27T19:52:41.976939+00:00,58.156,22036,python,33533952,31.980,diagnosis_agent
2026-02-27T19:52:41.976939+00:00,58.156,26952,python,8368128,7.980,summariser_agent
2026-02-27T19:52:41.976939+00:00,58.156,29084,python,8531968,8.137,osint_agent
2026-02-27T19:52:41.976939+00:00,58.156,30388,python,15011840,14.316,command_centre
2026-02-27T19:52:41.976939+00:00,58.156,33284,python,8323072,7.938,provider_agent
2026-02-27T19:52:41.976939+00:00,58.156,35792,python,8523776,8.129,pharmacy_agent
2026-02-27T19:52:41.976939+00:00,58.156,37452,python,24489984,23.355,openhie_mediator
2026-02-27T19:52:41.976939+00:00,58.156,39408,python,8462336,8.070,transcriber_agent
2026-02-27T19:52:41.976939+00:00,58.156,43860,python,8458240,8.066,bed_manager_agent
2026-02-27T19:52:41.976939+00:00,58.156,46320,python,8519680,8.125,discharge_agent
2026-02-27T19:52:41.976939+00:00,58.156,47164,python,8572928,8.176,specialty_care_agent
2026-02-27T19:52:41.976939+00:00,58.156,51604,python,8343552,7.957,care_coordinator
2026-02-27T19:52:41.976939+00:00,58.156,54000,python,8589312,8.191,insurer_agent
2026-02-27T19:52:41.976939+00:00,58.156,55112,python,8540160,8.145,clinician_avatar_agent
2026-02-27T19:52:41.976939+00:00,58.156,58876,python,8617984,8.219,home_visit_agent
2026-02-27T19:52:41.976939+00:00,58.156,59160,python,8339456,7.953,central_surveillance
2026-02-27T19:52:41.976939+00:00,58.156,60704,python,8450048,8.059,followup_scheduler
2026-02-27T19:52:41.976939+00:00,58.156,62004,python,8404992,8.016,consent_analyser
2026-02-27T19:52:41.976939+00:00,58.156,64480,python,8400896,8.012,ehr_writer_agent
2026-02-27T19:53:01.921780+00:00,78.109,728,python,8441856,8.051,primary_care_agent
2026-02-27T19:53:01.921780+00:00,78.109,1776,python,8536064,8.141,hitl_ui
2026-02-27T19:53:01.921780+00:00,78.109,9056,python,8781824,8.375,telehealth_agent
2026-02-27T19:53:01.921780+00:00,78.109,10796,python,8704000,8.301,ccm_agent
2026-02-27T19:53:01.921780+00:00,78.109,12920,python,8740864,8.336,hospital_reporter
2026-02-27T19:53:01.921780+00:00,78.109,13936,python,25518080,24.336,on_demand_gateway
2026-02-27T19:53:01.921780+00:00,78.109,18712,python,19226624,18.336,triage_agent
2026-02-27T19:53:01.921780+00:00,78.109,21132,python,10129408,9.660,imaging_agent
2026-02-27T19:53:01.921780+00:00,78.109,22036,python,32931840,31.406,diagnosis_agent
